PolicePrct,Address,OwnerName,LotArea
24,WEST 105 STREET,PARKS AND RECREATION,1749
24,WEST 87 STREET,PARKS AND RECREATION,4100
24,WEST 97 STREET,PWV ACQUISITION OWNER,58575
24,78 WEST 105 STREET,78 WEST 105 LLC,1733
20,WEST 84 STREET,2307 HOLDINGS LLC,410
24,WEST 97 STREET,PWV OWNER LLC,29824
24,814 AMSTERDAM AVENUE,ST. MICHAEL'S PROTEST,2575
24,18 WEST 104 STREET,PARKS AND RECREATION,2018
20,COLUMBUS AVENUE,SWETT BRADFORD,100
24,WEST 87 STREET,110W88 TOWNHOUSE LLC,1253
24,76 WEST 105 STREET,THE MANHATTAN LAND TR,1800
24,125 WEST 97 STREET,PWV OWNER LLC,31804
24,816 AMSTERDAM AVENUE,ST. MICHAEL'S PROTEST,2563
24,16 WEST 104 STREET,PARKS AND RECREATION,2119
24,6 WEST 104 STREET,PARKS AND RECREATION,2472
20,WEST 86 STREET,A.S.G. PROPERTIES INC,140
24,10 WEST 104 STREET,PARKS AND RECREATION,2632
24,8 WEST 104 STREET,PARKS AND RECREATION,1959
20,103 WEST 82 STREET,103-105 WEST 82ND ST,1283
20,2228 BROADWAY,2228-2236 BROADWAY LL,10243
24,14 WEST 104 STREET,PARKS AND RECREATION,2725
24,123 WEST 89 STREET,WESTSIDE COMMUNITY ET,17296